id,uuid,pid,language,title,fname,mname,lname,suffix,DOB,age,sex,street,city,state,postal_code,county,drivers_license,ss,phone_cell,occupation,status,pharmacy_id,race,ethnicity,email,pricelevel,deceased_date,deceased_reason,pubpid,date,regdate,religion,country_code,phone_home,phone_biz,phone_contact,contact_relationship,gender_identity,sexual_orientation,referrer,referrerID,email_direct,ethnoracial,interpretter,migrantseasonal,family_size,financial,monthly_income,homeless,genericname1,genericval1,genericname2,genericval2,squad,referral_source,primary_insurance,usertext2,usertext3,usertext4,usertext5,usertext6,usertext7,usertext8,userlist1,userlist2,userlist3,userlist4,userlist5,userlist6,userlist7,advance_directive_user_authenticator,vfc,mothersname,allow_imm_reg_use,allow_imm_info_share,allow_health_info_ex,allow_patient_portal,preferred_name,sex_identified,pronoun,providerID,ref_providerID,billing_note,financial_review,hipaa_mail,hipaa_voice,hipaa_notice,hipaa_message,hipaa_allowsms,hipaa_allowemail,fitness,contrastart,completed_ad,ad_reviewed,guardiansname,soap_import_status,cmsportal_login,care_team_provider,care_team_facility,care_team_status,industry,imm_reg_status,imm_reg_stat_effdate,publicity_code,publ_code_eff_date,protect_indicator,prot_indi_effdate,guardianrelationship,guardiansex,guardianaddress,guardiancity,guardianstate,guardianpostalcode,guardiancountry,guardianphone,guardianworkphone,guardianemail,birth_fname,birth_lname,birth_mname,dupscore,name_history,street_line_2,patient_groups,prevent_portal_apps,provider_since_date,created_by,updated_by,cost
33,NULL,33,English,Mr.,Jim,M,Novak, ,3/7/1956,70,Male,306 Saxton Route,Austin,TX,78744,Travis County,,838-62-9641,234-215-0601,Refractory mason,Married,0,American Indian,Hispanic or Latino,,standard,NULL,,JN-85M-57FB5,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,54
34,NULL,34,English,,Harry,L,Eaves, ,12/2/1964,62,Male,53440 Te Hutewai Place,San antonio,TX,78248,Bexar County,,612-51-1340,835-670-7849,Bindery worker,Single,0,White,Not Hispanic or Latino,,standard,NULL,,HE-20M-8E4E5,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,50
35,NULL,35,English,Mr.,William,A,Sieg,RHIT,6/23/2002,24,Male,86276 Lynda Road,San antonio,TX,78283,Bexar County,,212-22-7881,500-245-8504,Health information technician,Widowed,0,Black,Hispanic or Latino,,standard,NULL,,WS-81M-4DF4E,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,61
36,NULL,36,English,Prof.,Hui,,Meng,PhD,7/25/1989,37,Male,20194 Gascoigne Parkway,Dripping springs,TX,78620,Hays County,,495-96-9552,462-804-7805,Professor,Married,0,White,Not Hispanic or Latino,,standard,NULL,,HM-85M-3563E,0000-00-00 00:00:00,0000-00-00 00:00:00,Islam,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,125
37,NULL,37,English,,Wayne,J,Castaneda, ,12/9/1941,85,Male,45007 Crinan Terrace,Atascosa,TX,78002,Bexar County,,185-11-9705,201-354-2257,Apparel worker,Divorced,0,White,Not Hispanic or Latino,,standard,NULL,,WC-23M-C345D,0000-00-00 00:00:00,0000-00-00 00:00:00,Judaism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,143
38,NULL,38,English,Mrs.,Camille,K,Fields, ,5/30/1927,99,Female,637 Pharazyn Grove,Austin,TX,78736,Hays County,,218-52-1409,593-658-3992,Polisher,Single,0,Hawaiian or Pacific Islander,Not Hispanic or Latino,,discount,NULL,,CF-39F-14041,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,39
39,NULL,39,English,Ms.,Tracy,,Moore, ,3/3/1963,63,Female,80706 Chatfield Crescent,San antonio,TX,78266,Bexar County,,144-45-2341,747-945-4489,Social scientist,Divorced,0,Asian,Hispanic or Latino,,standard,NULL,,TM-81F-1D5C8,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,277
40,NULL,40,English,Ms.,Denise,M,Lapresse, ,6/4/1971,55,Female,78854 Java Street,Martindale,TX,78655,Guadalupe County,,740-39-4481,373-838-2136,Soil scientist,Married,0,Black,Not Hispanic or Latino,,discount,NULL,,DL-58F-DCAC0,0000-00-00 00:00:00,0000-00-00 00:00:00,Judaism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,156
41,NULL,41,English,Dr.,Jonathan,,Conley,M.D.,9/3/1987,39,Male,47283 Rajputana Ave,San antonio,TX,78224,Bexar County,,650-23-3063,441-801-8228,Allopathic surgeon,Divorced,0,White,Not Hispanic or Latino,,discount,NULL,,JC-64M-D2DFC,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,190
42,NULL,42,English,Hon.,Xavier,L,Primeau, ,12/12/1999,27,Male,96298 Northview Pkwy,San antonio,TX,78207,Bexar County,,774-66-2886,784-715-5467,Administrative officer,Single,0,Hawaiian or Pacific Islander,Not Hispanic or Latino,,discount,NULL,,XP-38M-DCD69,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,183
43,NULL,43,English,,Nenad,M,Matic, ,5/31/1967,59,Male,48381 Regina Road,San antonio,TX,78215,Bexar County,,137-63-5568,745-290-7831,Courier,Married,0,Black,Not Hispanic or Latino,,standard,NULL,,NM-24M-275A9,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,45
44,NULL,44,English,Mr.,Porro,P,Gaukrogers, ,12/7/1947,79,Male,67988 Sandyford Sq,San antonio,TX,78268,Bexar County,,189-40-9493,282-864-7929,Job estimator,Widowed,0,Hawaiian or Pacific Islander,Not Hispanic or Latino,,discount,NULL,,PG-86M-69165,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,186
45,NULL,45,English,Mr.,Jack,M,Araujo, ,9/15/1938,88,Male,68117 Burwah Drive,San antonio,TX,78249,Bexar County,,132-31-2397,283-225-9366,Dressing room attendant,Single,0,White,Hispanic or Latino,,discount,NULL,,JA-50M-64499,0000-00-00 00:00:00,0000-00-00 00:00:00,Judaism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,223
46,NULL,46,English,Ms.,Dorothy,B,Hughes, ,9/19/1941,85,Female,46837 De Havilland Alley,San antonio,TX,78209,Bexar County,,315-70-6530,715-697-4057,Legislator,Widowed,0,White,Not Hispanic or Latino,,standard,NULL,,DH-50F-61A81,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,258
47,NULL,47,English,Mrs.,Lola,,Gellert, ,4/25/1974,52,Female,30623 Mokopuna Crescent,Dripping springs,TX,78620,Hays County,,663-51-0109,520-772-6309,Floor layer,Married,0,Hawaiian or Pacific Islander,Not Hispanic or Latino,,standard,NULL,,LG-63F-DC683,0000-00-00 00:00:00,0000-00-00 00:00:00,Judaism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,49
48,NULL,48,English,Ms.,Lizie,L,Valentin, ,8/25/1990,36,Female,1193 Heavner Circle,Blanco,TX,78606,Hays County,,277-82-1714,451-038-1177,Essayist,Single,0,Hawaiian or Pacific Islander,Hispanic or Latino,,discount,NULL,,LV-84F-AFE92,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,256
49,NULL,49,English,Mr.,Steven,,Drake, ,3/17/1979,47,Male,33533 Tiki Way,Waelder,TX,78959,Bastrop County,,390-23-0885,638-406-4895,Mapping technician,Widowed,0,Black,Hispanic or Latino,,standard,NULL,,SD-52M-7C6BD,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,289
50,NULL,50,English,Mrs.,Maria,M,Pusa, ,5/2/1924,102,Female,17689 MacDonald Cove,San antonio,TX,78203,Bexar County,,714-27-5903,430-695-9742,Optical goods worker,Divorced,0,American Indian,Not Hispanic or Latino,,standard,NULL,,MP-44F-6C7AA,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,106
51,NULL,51,English,,Lavonne,W,Joseph, ,2/26/2004,22,Female,43089 Lower Watt Alley,San antonio,TX,78268,Bexar County,,366-28-4934,834-794-3397,Staff assistant,Widowed,0,White,Hispanic or Latino,,standard,NULL,,LJ-23F-66216,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,176
52,NULL,52,English,Mr.,Josafat,V,Partida, ,2/20/1932,94,Male,49792 Botley Lane,Austin,TX,78713,Travis County,,634-09-9846,293-817-9323,Photoengraver,Single,0,White,Not Hispanic or Latino,,standard,NULL,,JP-63M-945BD,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,262
53,NULL,53,English,Ms.,Brooke,,Dunne, ,7/23/1989,37,Female,65346 Riperata Road,Austin,TX,78742,Travis County,,821-55-0557,352-180-1853,Radiographer,Widowed,0,Asian,Hispanic or Latino,,standard,NULL,,BD-76F-EBEDD,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,209
54,NULL,54,English,Ms.,Isotta,B,Fiorentini, ,9/5/1938,88,Female,70859 Maltby Circle,Fischer,TX,78623,Hays County,,777-01-9199,344-434-4779,Data processor,Married,0,White,Not Hispanic or Latino,,discount,NULL,,IF-69F-D1867,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,232
55,NULL,55,English,Mr.,Mark,P,Hassell, ,3/11/1946,80,Male,53257 Harrow Crescent,San antonio,TX,78229,Bexar County,,130-16-9400,799-531-5522,Cafeteria cook,Widowed,0,White,Hispanic or Latino,,standard,NULL,,MH-75M-F602C,0000-00-00 00:00:00,0000-00-00 00:00:00,Judaism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,232
56,NULL,56,English,Mrs.,Rose,C,Montford, ,4/20/2003,23,Female,52616 Piccadilly Loop,Austin,TX,78751,Travis County,,649-41-4712,276-345-5465,Biomedical engineer,Married,0,Hawaiian or Pacific Islander,Hispanic or Latino,,standard,NULL,,RM-28F-8B4CD,0000-00-00 00:00:00,0000-00-00 00:00:00,Judaism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,162
57,NULL,57,English,Mrs.,Allyson,B,Witham,Sr.,1/3/1969,57,Female,95667 Guildford Square,San antonio,TX,78297,Bexar County,,272-30-6361,784-521-0531,Placement officer,Single,0,Asian,Not Hispanic or Latino,,discount,NULL,,AW-49F-2110A,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,86
58,NULL,58,English,Ms.,Clara,,Udinese, ,12/16/1929,97,Female,17112 Talfourd Dr,San antonio,TX,78252,Bexar County,,105-32-8580,846-788-8469,Textile knitting and weaving machine tender,Married,0,American Indian,Hispanic or Latino,,discount,NULL,,CU-70F-D0151,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,187
59,NULL,59,English,Prof.,Thomas,A,Simon,PhD,7/12/1986,40,Male,79053 Pitfield Way,Cedar creek,TX,78612,Bastrop County,,176-98-8129,346-100-4449,Professor,Divorced,0,American Indian,Hispanic or Latino,,discount,NULL,,TS-82M-6F75E,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,104
60,NULL,60,English,Mr.,Tristan,L,Belstead, ,6/15/1993,33,Male,70782 Len Garlick Way,Austin,TX,78720,Travis County,,747-00-8418,551-277-1395,Automated teller machine technician,Single,0,Black,Hispanic or Latino,,standard,NULL,,TB-69M-03192,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,199
61,NULL,61,English,Ms.,Lisa,L,Herman, ,12/25/1986,40,Female,17810 Herald Blvd,Austin,TX,73301,Travis County,,762-50-2968,471-305-3844,Electrical and electronics engineering technician,Married,0,Hawaiian or Pacific Islander,Not Hispanic or Latino,,discount,NULL,,LH-97F-F15BA,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,113
62,NULL,62,English,Mrs.,Monique,G,Ayres, ,1/30/1928,98,Female,49253 Saxon Cove,Austin,TX,78763,Travis County,,695-97-6176,696-061-7588,Terrazzo worker,Single,0,White,Not Hispanic or Latino,,standard,NULL,,MA-54F-A1F05,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,211
63,NULL,63,English,Ms.,Lea,L,Reid, ,9/4/1925,101,Female,46050 Dorfold Crescent,Fischer,TX,78623,Hays County,,533-40-3693,482-872-4610,Ecologist,Married,0,American Indian,Not Hispanic or Latino,,discount,NULL,,LR-67F-B47FB,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,143
64,NULL,64,English,Mr.,Norman,,Haynes, ,5/5/1956,70,Male,76959 Roguski Hwy,San antonio,TX,78256,Bexar County,,359-01-9375,496-113-2165,Bindery machine tender,Divorced,0,Black,Not Hispanic or Latino,,standard,NULL,,NH-79M-AD625,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,52
65,NULL,65,English,Mr.,Brayden,E,Jobson, ,8/17/1933,93,Male,19470 Losh St,Austin,TX,78730,Travis County,,883-20-2260,513-661-2270,Logistician,Divorced,0,Asian,Not Hispanic or Latino,,standard,NULL,,BJ-89M-15F9F,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,71
